GENESIS-Tabelle: 32141-0003
Asphaltmischanlagen: Deutschland, Jahre, Abfallarten;;;;
Aufbereitung,Verwertung v. Bau- u. Abbruchabfällen;;;;
Deutschland;;;;
;;;Asphaltmischanlagen;Input von Asphaltmischanlagen
2016;EAV-17;Bau- und Abbruchabfälle;181;4441,2
2016;EAV-170101-U;  Beton;3;2,2
2016;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;-;-
2016;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);-;-
2016;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;-;-
2016;EAV-170302-U;  Bitumengemische (ohne 170301);180;4428,6
2016;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;-;-
2016;EAV-170504-U;  Boden und Steine (ohne 170503);-;-
2016;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;-;-
2016;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;361;10341,5
2016;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-
2016;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;361;10341,5
2016;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-
2016;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-
2016;EAV-99;Gefährliche Abfälle;-;-
2016;EAV-990000-G;  Gefährliche Abfälle insgesamt;-;-
2018;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2018;EAV-050117-U;  Erdölraffination: Bitumen;-;-
2018;EAV-10;Abfälle aus thermischen Prozessen;-;-
2018;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);-;-
2018;EAV-17;Bau- und Abbruchabfälle;177;4685,4
2018;EAV-170101-U;  Beton;-;-
2018;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;-;-
2018;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);-;-
2018;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;-;-
2018;EAV-170302-U;  Bitumengemische (ohne 170301);176;4682,3
2018;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;-;-
2018;EAV-170504-U;  Boden und Steine (ohne 170503);-;-
2018;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;-;-
2018;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;349;10635,2
2018;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-
2018;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;349;10635,2
2018;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-
2018;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-
2018;EAV-99;Gefährliche Abfälle;-;-
2018;EAV-990000-G;  Gefährliche Abfälle insgesamt;-;-
2020;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2020;EAV-050117-U;  Erdölraffination: Bitumen;-;-
2020;EAV-10;Abfälle aus thermischen Prozessen;-;-
2020;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);-;-
2020;EAV-17;Bau- und Abbruchabfälle;164;4163,9
2020;EAV-170101-U;  Beton;-;-
2020;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;-;-
2020;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);-;-
2020;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;-;-
2020;EAV-170302-U;  Bitumengemische (ohne 170301);163;4161,0
2020;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;-;-
2020;EAV-170504-U;  Boden und Steine (ohne 170503);-;-
2020;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;-;-
2020;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;331;9951,5
2020;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-
2020;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;331;9951,5
2020;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-
2020;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-
2020;EAV-99;Gefährliche Abfälle;-;-
2020;EAV-990000-G;  Gefährliche Abfälle insgesamt;-;-
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 26.08.2023 / 16:58:55
