GENESIS-Tabelle: 32111-0003
Abfallentsorgung: Deutschland, Jahre, Anlagenart;;;;;;;;;;;;
Erhebung der Abfallentsorgung;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;
;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall;Abfallentsorgungsanlagen mit Output;Output von Abfallentsorgungsanlagen;Abfälle zur Beseitigung;Abfälle zur Verwertung;Abfälle zu vorbereitenden Verfahren;Abgabe an Sonstige
2011;Thermische Abfallbehandlungsanlagen;167;24479,0;1751,8;21788,8;938,4;x;6971,5;756,3;6064,0;-;151,2
2011;  Abfallverbrennungsanlagen;94;20187,3;248,8;19336,4;602,1;x;6218,4;476,9;5607,4;-;134,1
2011;  Klärschlammverbrennungsanlagen;22;2103,6;1021,3;1034,2;48,1;x;285,9;64,0;217,3;-;4,7
2011;  Sonderabfallverbrennungsanlagen;36;1770,8;463,3;1075,8;231,7;x;355,8;186,0;168,4;-;1,4
2011;  Sonstige Anlagen zur thermischen Abfallbehandlung;15;417,3;18,4;342,4;56,5;x;111,4;29,4;71,0;-;11,0
2011;Feuerungsanlagen;668;20276,6;3767,7;15452,3;1056,6;x;2795,3;597,8;1947,2;-;250,2
2011;  Kraftwerke/Heizkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2011;  Sonstige Feuerungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2011;  Ersatzbrennstoffkraftwerke;53;5135,9;364,7;4535,5;235,7;x;1278,2;285,7;930,5;-;62,0
2011;  Biomassekraftwerke;124;8223,2;2172,8;5455,0;595,4;x;937,4;230,4;683,1;-;23,9
2011;  Andere Kraftwerke;29;2041,1;399,8;1583,2;58,1;x;360,8;27,1;195,9;-;137,8
2011;  Heizwerke;371;1356,7;714,8;634,3;7,6;x;177,3;53,8;118,3;-;5,3
2011;  Anlagen für andere Produktionszwecke;91;3519,7;115,6;3244,3;159,8;x;41,6;0,8;19,5;-;21,3
2011;Chemisch-physikalische Behandlungsanlagen;536;8828,6;4512,4;3948,3;367,9;x;3480,0;892,4;1834,1;-;753,5
2011;  Regenerieren von Säuren und Basen, Lösemitteln;57;313,3;175,2;131,0;7,0;x;98,4;6,2;49,5;-;42,8
2011;  Rückgewinnung von Metallen, Lösemitteln usw.;82;537,7;59,2;423,4;55,1;x;385,7;24,0;95,6;-;266,1
2011;  Volumenreduzierung und Wasserabscheidung;158;3494,1;2854,7;631,3;8,2;x;842,4;373,2;467,7;-;1,5
2011;  Sonstige Anlagen;239;4483,5;1423,3;2762,6;297,6;x;2153,4;489,1;1221,2;-;443,1
2011;Bodenbehandlungsanlagen;118;3896,3;68,7;3703,8;123,8;x;3828,4;465,8;2758,7;-;603,9
2011;Biologische Behandlungsanlagen;2029;14162,5;1271,6;12739,5;151,3;x;10376,3;199,9;1749,0;-;8427,4
2011;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);251;4235,2;45,7;4188,7;0,8;x;2394,9;88,6;320,3;-;1986,0
2011;  Grünabfallkompostierungsanlagen (überw. Grünabf.);668;3287,3;118,3;3132,0;37,0;x;2254,3;16,0;276,1;-;1962,2
2011;  Kombinierte Kompostierungs- und Vergärungsanlagen;984;4630,5;456,0;4064,2;110,3;x;4094,6;24,3;385,8;-;3684,4
2011;  Klärschlammkompostierungsanlagen;106;1032,4;6,3;1024,0;2,2;x;707,8;9,7;74,5;-;623,7
2011;  Sonstige biologische Behandlungsanlagen;20;977,1;645,4;330,6;1,0;x;924,8;61,3;692,2;-;171,2
2011;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2011;Mechanisch-biologische Abfallbehandlungsanlagen;61;4474,1;97,2;4323,2;53,7;x;3809,5;1258,2;2403,8;-;147,5
2011;Demontagebetriebe für Altfahrzeuge;1349;479,3;-;476,7;2,6;x;561,1;0,6;525,0;-;35,5
2011;Schredderanlagen und Schrottscheren;662;14581,5;339,4;13357,4;884,8;x;14684,6;279,7;7128,5;-;7276,4
2011;Sortieranlagen;1031;24623,6;343,9;23771,8;508,0;x;24449,3;934,3;14237,7;-;9277,3
2011;Zerlegeeinrichtungen;298;818,2;0,8;786,7;30,8;x;780,9;19,5;652,4;-;109,0
2011;Sonstige Behandlungsanlagen;616;24509,8;2291,8;20604,5;1613,5;x;21943,3;1966,4;10331,0;-;9645,9
2011;  Sonstige Behandlungsanlagen;609;23973,1;2291,7;20197,6;1483,8;x;21448,9;1960,6;10309,7;-;9178,6
2011;  Anlagen zur stofflichen Verwertung von Altöl;7;536,7;0,1;406,9;129,7;x;494,4;5,8;21,3;-;467,3
2011;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2011;Naturbelassene Stoffe im Bergbau;16;32615,9;32615,9;-;-;-;-;-;-;-;-
2011;Abfälle in untertägigen Abbaustätten;27;2744,7;-;2313,7;431,0;-;-;-;-;-;-
2011;Abfälle in übertägigen Abbaustätten;3007;91697,5;-;90408,4;1289,1;-;-;-;-;-;-
2012;Deponien;1146;36962,8;10929,2;25288,8;744,8;x;2083,0;1598,2;292,4;-;192,4
2012;  Deponien der Klasse 0;794;14439,5;2796,2;11643,3;-;x;207,5;156,9;33,7;-;16,9
2012;  Deponien der Klasse I;158;12705,4;6642,4;5800,3;262,6;x;539,4;300,1;119,9;-;119,4
2012;  Deponien der Klasse II;158;6879,5;618,3;5947,3;313,8;x;1163,0;986,6;138,8;-;37,6
2012;  Deponien der Klasse III;32;2768,6;872,2;1780,1;116,3;x;173,1;154,6;0,0;-;18,5
2012;  Deponien der Klasse IV;4;169,9;0,0;117,8;52,1;-;-;-;-;-;-
2012;  Langzeitlager;-;-;-;-;-;-;-;-;-;-;-
2012;Thermische Abfallbehandlungsanlagen;170;24187,3;1765,4;21421,5;1000,3;x;6939,6;751,8;6024,1;-;163,7
2012;  Abfallverbrennungsanlagen;94;20223,6;267,1;19303,0;653,6;x;6238,1;386,7;5716,0;-;135,4
2012;  Klärschlammverbrennungsanlagen;22;2024,4;992,1;979,3;53,0;x;268,2;74,6;181,4;-;12,2
2012;  Sonderabfallverbrennungsanlagen;34;1317,5;476,6;632,6;208,4;x;287,6;231,9;49,6;-;6,0
2012;  Sonstige Anlagen zur thermischen Abfallbehandlung;20;621,7;29,7;506,6;85,3;x;145,7;58,5;77,1;-;10,1
2012;Feuerungsanlagen;696;20773,2;3527,2;16150,4;1095,6;x;2838,7;701,6;1791,2;-;346,0
2012;  Kraftwerke/Heizkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2012;  Sonstige Feuerungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2012;  Ersatzbrennstoffkraftwerke;60;5351,2;270,5;4848,7;232,1;x;1212,3;378,5;804,4;-;29,4
2012;  Biomassekraftwerke;133;8265,9;2002,6;5756,8;506,5;x;922,6;213,5;614,5;-;94,6
2012;  Andere Kraftwerke;35;2095,0;393,2;1606,1;95,7;x;484,2;57,1;235,8;-;191,2
2012;  Heizwerke;375;1258,2;673,2;558,2;26,8;x;172,3;49,7;116,8;-;5,8
2012;  Anlagen für andere Produktionszwecke;93;3802,8;187,7;3380,6;234,5;x;47,5;2,7;19,7;-;25,0
2012;Chemisch-physikalische Behandlungsanlagen;551;9275,0;4418,4;4447,9;408,6;x;3551,0;1045,2;1648,7;-;857,1
2012;  Regenerieren von Säuren und Basen, Lösemitteln;60;394,1;167,1;222,6;4,4;x;105,8;7,7;53,5;-;44,6
2012;  Rückgewinnung von Metallen, Lösemitteln usw.;83;512,5;45,3;412,7;54,5;x;426,1;29,7;103,4;-;293,0
2012;  Volumenreduzierung und Wasserabscheidung;157;4100,1;3096,4;993,2;10,4;x;882,1;446,8;368,3;-;66,9
2012;  Sonstige Anlagen;251;4268,3;1109,7;2819,4;339,3;x;2137,0;560,9;1123,5;-;452,6
2012;Bodenbehandlungsanlagen;114;3582,4;70,6;3462,5;49,2;x;3756,5;408,0;2679,8;-;668,6
2012;Biologische Behandlungsanlagen;2000;14979,8;1709,6;13156,3;113,9;x;11179,8;210,8;1815,5;-;9153,5
2012;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);245;4094,3;15,8;4078,0;0,5;x;2279,0;66,1;309,3;-;1903,7
2012;  Grünabfallkompostierungsanlagen (überw. Grünabf.);675;3519,3;147,8;3335,3;36,2;x;2434,2;33,5;314,1;-;2086,6
2012;  Kombinierte Kompostierungs- und Vergärungsanlagen;962;5394,5;875,4;4442,0;77,1;x;4874,3;42,0;395,4;-;4436,9
2012;  Klärschlammkompostierungsanlagen;100;948,9;25,3;923,6;-;x;623,6;5,5;92,1;-;526,1
2012;  Sonstige biologische Behandlungsanlagen;18;1022,8;645,4;377,4;-;x;968,7;63,8;704,5;-;200,3
2012;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2012;Mechanisch-biologische Abfallbehandlungsanlagen;60;4265,1;80,9;4159,7;24,5;x;3604,3;1128,3;2408,8;-;67,2
2012;Demontagebetriebe für Altfahrzeuge;1368;489,8;-;487,2;2,7;x;525,1;1,0;493,8;-;30,3
2012;Schredderanlagen und Schrottscheren;728;14466,2;405,4;13235,8;825,0;x;14478,6;240,0;7436,5;-;6802,1
2012;Sortieranlagen;1134;24698,4;466,3;23659,4;572,7;x;24485,1;1211,5;14673,6;-;8599,9
2012;Zerlegeeinrichtungen;315;850,6;16,3;804,0;30,3;x;842,0;16,2;752,4;-;73,4
2012;Sonstige Behandlungsanlagen;756;22679,9;2424,9;18171,3;2083,8;x;20200,2;1701,8;10577,2;-;7921,1
2012;  Sonstige Behandlungsanlagen;749;22239,6;2424,9;17785,3;2029,4;x;19823,8;1701,7;10555,6;-;7566,5
2012;  Anlagen zur stofflichen Verwertung von Altöl;7;440,4;-;386,0;54,4;x;376,4;0,1;21,7;-;354,6
2012;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2012;Naturbelassene Stoffe im Bergbau;12;27941,0;27941,0;-;-;-;-;-;-;-;-
2012;Abfälle in untertägigen Abbaustätten;24;2571,8;-;2254,4;317,4;-;-;-;-;-;-
2012;Abfälle in übertägigen Abbaustätten;2952;89079,3;-;88003,1;1076,2;-;-;-;-;-;-
2013;Deponien;1131;45010,9;13043,5;31535,3;432,0;x;1779,6;1201,1;270,5;-;308,0
2013;  Deponien der Klasse 0;794;16604,4;3141,5;13462,9;-;x;141,6;75,5;4,0;-;62,1
2013;  Deponien der Klasse I;158;16665,0;7355,1;9110,2;199,6;x;684,5;460,8;102,1;-;121,6
2013;  Deponien der Klasse II;157;6278,0;491,9;5491,6;294,5;x;1060,4;837,9;179,9;-;42,6
2013;  Deponien der Klasse III;29;2357,8;1013,7;1267,7;76,4;x;141,4;139,1;1,2;-;1,0
2013;  Deponien der Klasse IV;4;149,1;0,1;98,9;50,0;-;-;-;-;-;-
2013;  Langzeitlager;-;-;-;-;-;-;-;-;-;-;-
2013;Thermische Abfallbehandlungsanlagen;161;25303,3;1684,4;22056,4;1562,5;x;7194,5;559,7;6508,4;-;126,3
2013;  Abfallverbrennungsanlagen;89;20817,6;209,0;19686,6;921,9;x;6518,6;203,8;6183,8;-;131,1
2013;  Klärschlammverbrennungsanlagen;21;2078,9;1027,2;1012,7;38,9;x;289,4;97,8;178,4;-;13,2
2013;  Sonderabfallverbrennungsanlagen;33;1246,3;483,2;583,6;179,6;x;253,1;199,7;51,7;-;1,7
2013;  Sonstige Anlagen zur thermischen Abfallbehandlung;24;665,1;23,7;537,2;104,2;x;147,3;72,1;65,9;-;9,3
2013;Feuerungsanlagen;687;21510,4;3586,9;16452,8;1470,8;x;2980,8;815,9;2002,9;-;162,1
2013;  Kraftwerke/Heizkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2013;  Sonstige Feuerungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2013;  Ersatzbrennstoffkraftwerke;45;4740,6;246,5;4296,8;197,4;x;1373,5;360,3;959,8;-;53,4
2013;  Biomassekraftwerke;123;8323,1;2209,2;5522,1;591,8;x;921,5;204,9;623,0;-;93,5
2013;  Andere Kraftwerke;41;3052,6;446,6;2471,5;134,5;x;412,7;35,6;231,7;-;145,4
2013;  Heizwerke;406;1367,7;748,8;597,5;21,5;x;167,5;43,5;120,3;-;3,7
2013;  Anlagen für andere Produktionszwecke;90;3812,0;215,3;3328,7;268,0;x;76,4;16,0;13,6;-;46,8
2013;Chemisch-physikalische Behandlungsanlagen;541;9357,0;4436,7;4542,1;378,2;x;3800,8;1361,1;1557,4;-;882,2
2013;  Regenerieren von Säuren und Basen, Lösemitteln;56;403,3;168,0;219,1;16,3;x;95,7;23,3;41,5;-;30,9
2013;  Rückgewinnung von Metallen, Lösemitteln usw.;76;528,4;67,7;407,0;53,6;x;480,7;30,9;96,9;-;352,9
2013;  Volumenreduzierung und Wasserabscheidung;157;3977,9;3304,3;668,0;5,7;x;952,6;311,2;640,7;-;0,8
2013;  Sonstige Anlagen;263;4343,9;1161,8;2921,4;260,7;x;2264,2;641,4;1179,0;-;443,8
2013;Bodenbehandlungsanlagen;116;3852,7;206,5;3593,7;52,5;x;3743,1;592,8;2493,7;-;656,6
2013;Biologische Behandlungsanlagen;2387;15435,4;1607,6;13737,9;89,9;x;11374,2;169,1;1756,7;-;9448,4
2013;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);241;3971,1;6,9;3962,2;1,9;x;2152,6;80,4;332,2;-;1740,0
2013;  Grünabfallkompostierungsanlagen (überw. Grünabf.);671;3395,6;163,3;3215,9;16,4;x;2278,9;51,9;340,2;-;1886,9
2013;  Kombinierte Kompostierungs- und Vergärungsanlagen;1439;5500,4;724,1;4697,7;78,7;x;4734,6;30,4;426,8;-;4277,3
2013;  Klärschlammkompostierungsanlagen;88;874,0;15,8;858,2;-;x;590,8;3,8;81,3;-;505,7
2013;  Sonstige biologische Behandlungsanlagen;23;917,0;545,2;371,8;-;x;765,1;14,3;622,9;-;127,9
2013;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2013;Mechanisch-biologische Abfallbehandlungsanlagen;55;4207,3;64,4;4106,3;36,5;x;3552,3;1103,8;2421,7;-;26,7
2013;Demontagebetriebe für Altfahrzeuge;1325;524,4;-;520,5;3,9;x;527,9;1,7;503,3;-;22,9
2013;Schredderanlagen und Schrottscheren;736;15491,3;519,7;14065,3;906,2;x;15614,4;535,3;9200,9;-;5878,2
2013;Sortieranlagen;1126;25891,3;334,9;24927,5;629,0;x;25422,4;1307,2;16400,5;-;7714,7
2013;Zerlegeeinrichtungen;305;839,1;9,8;781,6;47,6;x;820,4;14,5;753,0;-;52,9
2013;Sonstige Behandlungsanlagen;917;25661,4;2778,3;20836,9;2046,1;x;22697,0;3019,5;11783,6;-;7893,9
2013;  Sonstige Behandlungsanlagen;775;23095,2;2909,8;18173,4;2012,0;x;20540,5;2393,8;10879,1;-;7267,6
2013;  Anlagen zur stofflichen Verwertung von Altöl;7;510,2;0,1;381,6;128,5;x;430,3;1,4;23,4;-;405,5
2013;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2013;Naturbelassene Stoffe im Bergbau;18;27407,3;27407,3;-;-;-;-;-;-;-;-
2013;Abfälle in untertägigen Abbaustätten;22;2582,6;9,8;2276,4;296,4;-;-;-;-;-;-
2013;Abfälle in übertägigen Abbaustätten;2873;91766,5;1796,7;88814,6;1155,2;-;-;-;-;-;-
2014;Deponien;1131;45010,9;13043,5;31535,3;432,0;x;1779,6;1201,1;270,5;-;308,0
2014;  Deponien der Klasse 0;802;18876,8;3913,7;14963,1;-;x;67,7;33,8;28,9;-;5,0
2014;  Deponien der Klasse I;142;16780,1;7720,6;8928,1;131,5;x;683,6;387,6;42,4;-;253,6
2014;  Deponien der Klasse II;156;7037,8;634,2;6192,9;210,6;x;892,5;708,7;134,4;-;49,5
2014;  Deponien der Klasse III;27;2178,0;774,9;1353,8;49,3;x;135,8;71,0;64,8;-;-
2014;  Deponien der Klasse IV;4;138,2;0,1;97,4;40,7;-;-;-;-;-;-
2014;  Langzeitlager;-;-;-;-;-;-;-;-;-;-;-
2014;Thermische Abfallbehandlungsanlagen;161;25303,3;1684,4;22056,4;1562,5;x;7194,5;559,7;6508,4;-;126,3
2014;  Abfallverbrennungsanlagen;89;21540,2;177,8;20133,5;1228,9;x;6549,2;155,0;6283,0;-;111,3
2014;  Klärschlammverbrennungsanlagen;19;1944,5;945,8;951,8;46,9;x;281,9;139,4;138,6;-;3,9
2014;  Sonderabfallverbrennungsanlagen;31;1303,8;537,3;584,2;182,3;x;261,4;217,3;42,2;-;1,9
2014;  Sonstige Anlagen zur thermischen Abfallbehandlung;22;514,9;23,5;386,9;104,5;x;102,1;48,1;44,6;-;9,3
2014;Feuerungsanlagen;687;21510,4;3586,9;16452,8;1470,8;x;2980,8;815,9;2002,9;-;162,1
2014;  Kraftwerke/Heizkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2014;  Sonstige Feuerungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2014;  Ersatzbrennstoffkraftwerke;39;4456,8;240,3;3911,5;305,0;x;1334,9;363,3;971,1;-;0,5
2014;  Biomassekraftwerke;121;8428,2;2067,5;5697,1;663,6;x;990,6;243,5;674,4;-;72,6
2014;  Andere Kraftwerke;45;3140,1;345,3;2636,4;158,4;x;403,0;144,6;214,7;-;43,8
2014;  Heizwerke;401;1446,6;800,3;610,8;35,6;x;174,7;49,8;120,2;-;4,7
2014;  Anlagen für andere Produktionszwecke;81;4038,6;133,4;3597,0;308,2;x;77,7;14,7;22,4;-;40,5
2014;Chemisch-physikalische Behandlungsanlagen;541;9357,0;4436,7;4542,1;378,2;x;3800,8;1361,1;1557,4;-;882,2
2014;  Regenerieren von Säuren und Basen, Lösemitteln;50;222,0;11,2;197,0;13,7;x;97,6;24,5;38,1;-;35,0
2014;  Rückgewinnung von Metallen, Lösemitteln usw.;77;625,3;200,3;331,0;93,9;x;539,6;26,3;151,2;-;362,1
2014;  Volumenreduzierung und Wasserabscheidung;151;3984,5;3109,6;868,3;6,5;x;697,0;596,9;99,5;-;0,7
2014;  Sonstige Anlagen;263;4525,3;1115,5;3145,8;264,0;x;2466,6;713,5;1268,6;-;484,5
2014;Bodenbehandlungsanlagen;116;3852,7;206,5;3593,7;52,5;x;3743,1;592,8;2493,7;-;656,6
2014;Biologische Behandlungsanlagen;2387;15435,4;1607,6;13737,9;89,9;x;11374,2;169,1;1756,7;-;9448,4
2014;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);236;3880,1;67,9;3811,0;1,1;x;2135,1;64,5;346,6;-;1724,0
2014;  Grünabfallkompostierungsanlagen (überw. Grünabf.);648;3577,4;167,7;3397,5;12,2;x;2551,2;31,2;285,0;-;2235,0
2014;  Kombinierte Kompostierungs- und Vergärungsanlagen;1386;6135,8;809,6;5249,5;76,6;x;5294,8;60,9;417,5;-;4816,3
2014;  Klärschlammkompostierungsanlagen;84;876,3;25,6;850,7;-;x;549,4;5,5;52,8;-;491,1
2014;  Sonstige biologische Behandlungsanlagen;33;965,9;536,8;429,1;-;x;843,6;6,9;654,8;-;182,0
2014;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2014;Mechanisch-biologische Abfallbehandlungsanlagen;55;4207,3;64,4;4106,3;36,5;x;3552,3;1103,8;2421,7;-;26,7
2014;Demontagebetriebe für Altfahrzeuge;1325;524,4;-;520,5;3,9;x;527,9;1,7;503,3;-;22,9
2014;Schredderanlagen und Schrottscheren;736;15491,3;519,7;14065,3;906,2;x;15614,4;535,3;9200,9;-;5878,2
2014;Sortieranlagen;1126;25891,3;334,9;24927,5;629,0;x;25422,4;1307,2;16400,5;-;7714,7
2014;Zerlegeeinrichtungen;305;839,1;9,8;781,6;47,6;x;820,4;14,5;753,0;-;52,9
2014;Sonstige Behandlungsanlagen;917;25661,4;2778,3;20836,9;2046,1;x;22697,0;3019,5;11783,6;-;7893,9
2014;  Sonstige Behandlungsanlagen;910;25135,1;2778,3;20449,1;1907,6;x;22283,8;3018,7;11764,0;-;7501,1
2014;  Anlagen zur stofflichen Verwertung von Altöl;7;526,3;-;387,8;138,5;x;413,1;0,7;19,6;-;392,8
2014;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2014;Naturbelassene Stoffe im Bergbau;18;27407,3;27407,3;-;-;-;-;-;-;-;-
2014;Abfälle in untertägigen Abbaustätten;22;2582,6;9,8;2276,4;296,4;-;-;-;-;-;-
2014;Abfälle in übertägigen Abbaustätten;2873;91766,5;1796,7;88814,6;1155,2;-;-;-;-;-;-
2015;Deponien;1110;44449,1;12812,3;31092,1;544,8;x;1873,5;1232,7;229,1;-;411,7
2015;  Deponien der Klasse 0;787;18519,2;3784,9;14734,3;-;x;223,5;62,4;8,0;-;153,2
2015;  Deponien der Klasse I;138;16176,4;7535,0;8418,1;223,3;x;605,6;351,2;47,7;-;206,6
2015;  Deponien der Klasse II;154;6961,9;820,0;5925,4;216,6;x;901,0;763,6;86,1;-;51,3
2015;  Deponien der Klasse III;27;2671,1;672,3;1950,3;48,5;x;.;.;.;-;.
2015;  Deponien der Klasse IV;4;120,5;0,1;64,1;56,3;-;-;-;-;-;-
2015;  Langzeitlager;-;-;-;-;-;-;-;-;-;-;-
2015;Thermische Abfallbehandlungsanlagen;161;25506,1;1673,6;22120,6;1711,9;x;7334,0;658,4;6477,4;-;198,2
2015;  Abfallverbrennungsanlagen;90;21755,8;308,7;20069,8;1377,4;x;6676,4;276,8;6222,3;-;177,3
2015;  Klärschlammverbrennungsanlagen;20;2047,5;943,5;1060,3;43,8;x;297,5;131,5;156,8;-;9,2
2015;  Sonderabfallverbrennungsanlagen;33;1276,0;421,3;666,3;188,4;x;270,3;219,6;48,5;-;2,1
2015;  Sonstige Anlagen zur thermischen Abfallbehandlung;18;426,8;0,2;324,2;102,4;x;89,8;30,4;49,8;-;9,6
2015;Feuerungsanlagen;668;22009,9;3537,7;17118,7;1353,5;x;2790,2;647,6;1954,3;-;188,3
2015;  Kraftwerke/Heizkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2015;  Sonstige Feuerungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2015;  Ersatzbrennstoffkraftwerke;31;4343,0;172,8;3885,6;284,6;x;1270,4;337,5;884,4;-;48,5
2015;  Biomassekraftwerke;117;8682,1;1946,8;6081,3;653,9;x;937,6;187,6;695,7;-;54,3
2015;  Andere Kraftwerke;45;3378,5;453,9;2781,4;143,2;x;341,4;79,9;220,0;-;41,5
2015;  Heizwerke;423;1491,7;842,5;617,2;32,0;x;162,6;28,0;131,2;-;3,5
2015;  Anlagen für andere Produktionszwecke;52;4114,7;121,7;3753,2;239,8;x;78,2;14,5;23,0;-;40,6
2015;Chemisch-physikalische Behandlungsanlagen;534;9364,6;3931,9;5021,5;411,2;x;4474,9;1194,7;2083,3;-;1196,8
2015;  Regenerieren von Säuren und Basen, Lösemitteln;43;210,2;54,4;138,6;17,3;x;111,3;23,0;36,2;-;52,1
2015;  Rückgewinnung von Metallen, Lösemitteln usw.;77;633,1;228,3;330,1;74,7;x;460,7;18,8;139,9;-;302,0
2015;  Volumenreduzierung und Wasserabscheidung;147;3734,2;2476,6;1250,8;6,8;x;1190,5;437,7;408,7;-;344,2
2015;  Sonstige Anlagen;267;4787,0;1172,6;3302,0;312,4;x;2712,3;715,2;1498,6;-;498,6
2015;Bodenbehandlungsanlagen;111;3668,3;197,7;3370,9;99,7;x;3723,1;725,5;2331,4;-;666,1
2015;Biologische Behandlungsanlagen;2362;15536,5;1645,6;13781,6;109,3;x;11381,0;155,1;1747,7;-;9478,1
2015;  Bioabfallkompostierungsanlagen (verm. Bioabfälle);223;3604,3;86,5;3517,7;0,2;x;2032,5;69,8;357,9;-;1604,8
2015;  Grünabfallkompostierungsanlagen (überw. Grünabf.);645;3767,7;154,9;3595,8;16,9;x;2604,4;30,7;326,8;-;2247,0
2015;  Kombinierte Kompostierungs- und Vergärungsanlagen;1392;6481,2;879,9;5509,1;92,2;x;5608,4;45,5;430,3;-;5132,6
2015;  Klärschlammkompostierungsanlagen;78;777,7;28,2;749,4;-;x;484,4;0,8;72,7;-;411,0
2015;  Sonstige biologische Behandlungsanlagen;24;905,7;496,1;409,5;-;x;651,2;8,4;560,1;-;82,7
2015;  Biogas- und Vergärungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2015;Mechanisch-biologische Abfallbehandlungsanlagen;55;4097,8;69,5;3981,7;46,6;x;3399,2;1028,4;2341,9;-;28,9
2015;Demontagebetriebe für Altfahrzeuge;1296;482,7;-;479,6;3,1;x;452,7;0,9;431,8;-;20,0
2015;Schredderanlagen und Schrottscheren;729;15117,7;664,2;13789,5;663,9;x;15149,6;330,3;8377,3;-;6442,1
2015;Sortieranlagen;1121;25840,8;305,8;24957,8;577,2;x;25494,6;1191,6;16933,2;-;7369,7
2015;Zerlegeeinrichtungen;325;951,4;17,9;855,7;77,8;x;938,7;15,2;862,2;-;61,4
2015;Sonstige Behandlungsanlagen;945;26289,3;3141,9;21106,9;2040,5;x;22472,9;2756,5;12007,4;-;7709,0
2015;  Sonstige Behandlungsanlagen;938;25789,1;3141,6;20732,0;1915,5;x;21968,8;2752,2;11984,3;-;7232,3
2015;  Anlagen zur stofflichen Verwertung von Altöl;7;500,2;0,2;374,9;125,0;x;504,1;4,2;23,1;-;476,7
2015;  Klärschlammfaulbehälter mit CO-Vergärung;-;-;-;-;-;-;-;-;-;-;-
2015;Naturbelassene Stoffe im Bergbau;18;27893,7;27893,7;-;-;-;-;-;-;-;-
2015;Abfälle in untertägigen Abbaustätten;22;2767,7;169,1;2253,8;344,8;-;-;-;-;-;-
2015;Abfälle in übertägigen Abbaustätten;2834;92891,7;2836,4;89085,8;969,5;-;-;-;-;-;-
2016;Deponien;1108;46613,1;12169,6;33802,5;640,9;x;1690,2;892,1;422,6;-;375,5
2016;  Deponien der Klasse 0;798;20076,5;3657,8;16418,7;-;x;97,6;1,7;10,6;-;85,4
2016;  Deponien der Klasse I;131;16382,4;7167,9;8975,0;239,5;x;513,5;189,9;86,5;-;237,1
2016;  Deponien der Klasse II;147;7119,9;670,4;6138,6;310,8;x;915,1;641,3;220,9;-;52,9
2016;  Deponien der Klasse III;28;2913,4;673,2;2202,3;37,8;x;.;.;.;-;.
2016;  Deponien der Klasse IV;4;120,9;0,3;67,9;52,7;x;.;.;.;-;.
2016;  Langzeitlager;-;-;-;-;-;-;-;-;-;-;-
2016;Thermische Abfallbehandlungsanlagen;157;25294,8;1751,1;21919,6;1624,1;x;7169,0;758,0;6283,8;-;127,1
2016;  Abfallverbrennungsanlagen;85;21738,3;282,2;20094,0;1362,1;x;6574,5;429,5;6040,8;-;104,1
2016;  Klärschlammverbrennungsanlagen;23;2046,3;954,7;1054,6;37,0;x;288,6;106,9;171,2;-;10,5
2016;  Sonderabfallverbrennungsanlagen;33;1394,6;513,5;698,4;182,7;x;283,6;213,9;68,5;-;1,2
2016;  Sonstige Anlagen zur thermischen Abfallbehandlung;16;115,7;0,7;72,5;42,4;x;22,2;7,7;3,3;-;11,2
2016;Feuerungsanlagen;601;22442,0;3916,1;17188,4;1337,6;x;3099,3;845,7;2033,9;-;219,7
2016;  Kraftwerke/Heizkraftwerke;-;-;-;-;-;-;-;-;-;-;-
2016;  Sonstige Feuerungsanlagen;-;-;-;-;-;-;-;-;-;-;-
2016;  Ersatzbrennstoffkraftwerke;32;4533,8;166,3;4101,0;266,5;x;1288,7;255,2;1021,8;-;11,6
