id,lat,lon,clothes,shoes,cans,count,beverage_cartons,waste,green,brown,support,gas_bottles,obstacle:parking,waste,capacity,collection_times,car_batteries,paint,drugs,addr:inclusion,building,pallets,industrial,alt_name:vi,contact:facebook,de:place,geographical_region,license_plate_code,name:als,name:ang,name:arc,name:ast,name:bar,name:bat-smg,name:be-tarask,name:bi,name:bo,name:cbk-zam,name:crh,name:csb,name:cu,name:da,name:diq,name:dsb,name:fo,name:frp,name:fur,name:haw,name:ht,name:id,name:ilo,name:jbo,name:jv,name:kab,name:ksh,name:ku,name:kv,name:kw,name:lb,name:lg,name:lij,name:lmo,name:ln,name:lzh,name:mg,name:myv,name:na,name:nah,name:nan,name:nap,name:nds,name:nn,name:no,name:nov,name:nrm,name:pam,name:pdc,name:pms,name:prefix:city,name:prefix:state,name:qu,name:rmy,name:roa-rup,name:roa-tara,name:sah,name:scn,name:sco,name:se,name:sh,name:short,name:so,name:stq,name:su,name:sv,name:tet,name:tg,name:tpi,name:ty,name:tzl,name:vec,name:vi,name:vls,name:wo,name:yue,name:zu,official_status,official_status:de,official_status:en,official_status:ru,old_name:vi,place,population,ref:nuts:2,ref:nuts:3,report_problems:website,source:population,state_code,entrance,source:addr,foot,motor_vehicle,horse,motorcar,motorcycle,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes,construction_wastes,hazardous/toxic
312385354,52.4993759,13.31579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
315349525,52.4450243,13.2925485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
315363226,52.4614302,13.3667535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
315808706,52.4893798,13.3452903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
315812629,52.4858101,13.3513843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
315823154,52.490378,13.3592464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
317148494,52.5220799,13.4497455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
317175529,52.4542476,13.3280785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
318104085,52.5239353,13.4319972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
319211562,52.5200205,13.4503172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
