clothes,shoes,id,lat,lon,cans,operator:clothes,ref:signed,waste,noref,seasonal,support,alt_name:ca,alt_name:cs,ref:nuts:2,entrance,gate:type,glass_related_recycling,electrical_related_recycling,metal_related_recycling,packaging_wastes,paper_wastes,plastic_wastes,organic_wastes
,,270365278,49.2545182,6.8898134,,,,,,,,,,,,,yes,,,,,,
,,270551544,49.2420522,6.8661602,,,,,,,,,,,,,yes,,,,,,
,,270557334,49.2388651,6.8665075,,,,,,,,,,,,,yes,,,,,,
yes,yes,271513354,49.1975923,7.0200838,,,,,,,,,,,,,yes,,,,,,
,,271784847,49.3263814,7.0947075,,,,,,,,,,,,,yes,,,,,,
,,271789515,49.3252301,7.0973142,,,,,,,,,,,,,yes,,,,,,
,,271789590,49.3225308,7.0958683,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,272678198,49.2448238,7.0578754,,,,,,,,,,,,,yes,,,,yes,,
,,272855150,49.2555533,6.9074956,,,,,,,,,,,,,yes,,,,,,
,,273454956,49.4187784,6.8414317,,,,,,,,,,,,,yes,,,,yes,,
,,273498085,49.2300122,6.8935641,,,,,,,,,,,,,yes,,,,,,
,,273533269,49.2285406,6.9609744,,,,,,,,,,,,,yes,,,,,,
,,274809830,49.2420968,6.9394903,,,,,,,,,,,,,yes,,,,yes,,
,,274899099,49.2900106,6.8844392,,,,,,,,,,,,,,,,,,,
,,274899100,49.2816834,6.9001504,,,,,,,,,,,,,,,,,,,
,,274899101,49.2809128,6.9042746,,,,,,,,,,,,,,,,,,,
,,274899250,49.2928656,6.9018714,,,,,,,,,,,,,,,,,,,
,,274899251,49.2976123,6.9000346,,,,,,,,,,,,,,,,,,,
,,274899258,49.2998736,6.894447,,,,,,,,,,,,,,,,,,,
,,274899384,49.3038921,6.8979575,,,,,,,,,,,,,,,,,,,
,,274899914,49.30685,6.9301647,,,,,,,,,,,,,yes,,,,yes,,
,,277287377,49.2538926,6.885343,,,,,,,,,,,,,yes,,,,yes,,
,,277628548,49.2620926,6.8872836,,,,,,,,,,,,,,,,,,,
,,277631246,49.2600985,6.8924965,,,,,,,,,,,,,yes,,,,,,
,,277631332,49.2592012,6.8892421,,,,,,,,,,,,,yes,,,,,,
,,277634780,49.2576611,6.8784005,,,,,,,,,,,,,yes,,,,,,
yes,yes,277937574,49.2010596,7.0286085,,,,,,,,,,,,,yes,,,,,,
,,278910862,49.2868624,6.8415955,,,,,,,,,,,,,,,,,,,
,,279586083,49.3778594,7.0456228,,,,,,,,,,,,,,,,,,,
yes,,279586084,49.3706581,7.0473929,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,280887109,49.2820354,7.2247898,,,,,,,,,,,,,yes,,,,yes,,
,,282834101,49.5170564,7.206625,,,,,,,,,,,,,yes,,,,,,
yes,,283085606,49.3062077,6.7376841,,,,,,,,,,,,,yes,,,,yes,,
yes,,283085608,49.3088017,6.7330781,,,,,,,,,,,,,yes,,,,yes,,
,,286186832,49.51534,7.2094453,,,,,,,,,,,,,yes,,,,,,
,,286924476,49.5318594,7.2194652,,,,,,,,,,,,,yes,,,,,,
,,288283707,49.2445325,6.9322494,,,,,,,,,,,,,yes,,,,,,
,,289698140,49.5121908,7.1930792,,,,,,,,,,,,,yes,,,,,,
,,289700884,49.509265,7.170685,,,,,,,,,,,,,yes,,,,yes,,
,,292319289,49.2594244,6.8697362,,,,,,,,,,,,,,,,,,,
,,294861503,49.2468962,6.9138301,,,,,,,,,,,,,yes,,,,yes,,
,,295387299,49.2658726,6.8577897,,,,,,,,,,,,,yes,,,,,,
,,295717928,49.3113282,7.0569505,,,,,,,,,,,,,yes,,,,yes,,
,,303342275,49.2625999,7.3354862,,,,,,,,,,,,,,,,,,,
yes,yes,304576627,49.2768574,7.0296502,,,,,,,,,,,,,yes,,,,,,
,,309763705,49.4232655,6.9545078,,,,,,,,,,,,,yes,,,,yes,,
yes,,310252495,49.454232,6.7635443,,,,,,,,,,,,,yes,,,,yes,,
no,,310433369,49.451408,6.7641953,,,,,,,,,,,,,yes,,,,yes,,
,,310540760,49.3225572,7.053936,,,,,,,,,,,,,yes,,,,yes,,
,,312382942,49.4128712,6.9815251,,,,,,,,,,,,,yes,,,,yes,,
,,312383069,49.400705,6.9680696,,,,,,,,,,,,,yes,,,,yes,,
,,312775850,49.3990433,6.9640062,,,,,,,,,,,,,yes,,,,yes,,
yes,,312927470,49.4103147,6.9714448,,,,,,,,,,,,,yes,no,,,yes,,
yes,yes,314307516,49.2357571,6.9774134,,,,,,,,,,,,,yes,,,,yes,,
yes,,314606774,49.5054957,6.7452368,,,,,,,,,,,,,yes,no,,,yes,,
yes,,315059222,49.2813623,6.8720798,,,,,,,,,,,,,yes,,,,yes,,
yes,,315894038,49.4088082,6.8541519,,,,,,,,,,,,,yes,,,,yes,,
yes,,316034060,49.4664278,6.6780957,,,,,,,,,,,,,yes,,,,,,
,,318127519,49.2919286,6.8744952,,,,,,,,,,,,,,,,,,,
,,318127520,49.296186,6.8792009,,,,,,,,,,,,,,,,,,,
yes,,321730799,49.4374183,6.7420864,,,,,,,,,,,,,yes,,,,yes,,
yes,,324802222,49.2295904,6.8045865,,,,,,,,,,,,,yes,,,,yes,,
,,330938408,49.5321501,7.1849069,,,,,,,,,,,,,yes,,,,,,
yes,,332797750,49.357234,6.8044191,,,,,,,,,,,,,yes,,,,yes,,
,,333786096,49.3487773,6.8024495,,,,,,,,,,,,,yes,,,,yes,,
,,335469834,49.2287292,6.8225853,,,,,,,,,,,,,yes,,no,,yes,,
yes,yes,335469867,49.2309769,6.8286527,,,,,,,,,,,,,yes,,,,yes,,
no,,335510784,49.2174696,6.7911942,,,,,,,,,,,,,yes,,,,yes,,
,,336015453,49.2416188,6.9772678,,,,,,,,,,,,,yes,,,,,,
,,336069730,49.2376727,6.835564,,,,,,,,,,,,,yes,,,,yes,,
,,339203136,49.1915335,7.1461404,,,,,,,,,,,,,yes,,,,yes,,
,,339203144,49.1925137,7.1391234,,,,,,,,,,,,,yes,,,,yes,,
yes,,340007235,49.1981445,7.1438574,,,,,,,,,,,,,yes,,,,yes,,
,,340482406,49.2263734,7.1605275,,,,,,,,,,,,,yes,,,,yes,,
,,341878985,49.3212686,7.0833381,,,,,,,,,,,,,yes,,,,yes,,
,,345707134,49.2248058,7.0137797,,,,,,,,,,,,,yes,,,,,,
yes,,347335414,49.2073344,7.2188865,,,,,,,,,,,,,yes,,,,yes,,
,,349164522,49.3526728,6.9892493,,,,,,,,,,,,,,,,,,,
yes,,351172049,49.4780691,6.705975,,,,,,,,,,,,,yes,,,,yes,,
,,352812867,49.1984085,7.1902125,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,352962695,49.4785812,6.6995606,,,,,,,,,,,,,yes,,,,yes,,
,,353200073,49.5520005,6.7621298,,,,,,,,,,,,,yes,,,,yes,,
,,353875119,49.1900524,6.7303176,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,354589960,49.2355676,7.0187967,,,,,,,,,,,,,yes,,,,no,,
,,356960327,49.3540859,6.7967038,,,,,,,,,,,,,yes,,,,yes,,
,,360055000,49.1921337,7.1038791,,,,,,,,,,,,,yes,,,,,,
,,360055002,49.1916067,7.0939063,,,,,,,,,,,,,yes,,,,yes,,
,,362579009,49.5491186,6.7289959,,,,,,,,,,,,,yes,,,,yes,,
,,362782792,49.2054689,6.8307887,,,,,,,,,,,,,yes,,,,yes,,
yes,,363995272,49.2073637,7.1107029,,,,,,,,,,,,,yes,,,,yes,,
yes,,364359804,49.3057181,6.9041836,,,,,,,,,,,,,yes,,,,yes,,
,,365068914,49.290086,7.0440762,,,,,,,,,,,,,,,,,,,
yes,,365071071,49.4311926,7.0319259,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,365266705,49.4338233,7.0360262,,,,,,,,,,,,,yes,,,,yes,,
,,365384432,49.2028036,6.8383947,,,,,,,,,,,,,yes,,,,yes,,
yes,,366043689,49.2490036,6.9166829,,,,,,,,,,,,,yes,,,,yes,,
yes,,366043800,49.248732,6.9132028,,,,,,,,,,,,,yes,,,,yes,,
yes,,369668184,49.35163,6.9991759,,,,,,,,,,,,,yes,,,,yes,,
,,370912617,49.3482667,6.9801969,,,,,,,,,,,,,yes,,,,yes,,
yes,,371086458,49.4521829,7.0551687,,,,,,,,,,,,,yes,,,,yes,,
,,371399350,49.3130768,7.050407,,,,,,,,,,,,,yes,,,,yes,,
,,372642823,49.2895446,7.0641626,,,,,,,,,,,,,yes,,,,yes,,
,,378166758,49.3436943,7.0259665,,,,,,,,,,,,,yes,,,,yes,,
,,378180380,49.341146,7.0234288,,,,,,,,,,,,,yes,,,,yes,,
,,378508790,49.3284585,6.6512675,,,,,,,,,,,,,,,,,,,
,,378680048,49.3103685,6.9409127,,,,,,,,,,,,,yes,,,,yes,,
,,378680058,49.3240934,6.9372634,,,,,,,,,,,,,yes,,,,yes,,
,,380834342,49.3056207,7.0588895,,,,,,,,,,,,,yes,,,,yes,,
,,383173838,49.328889,6.9818411,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,384631322,49.2253552,7.0433464,,,,,,,,,,,,,yes,,,,,,
,,385183591,49.4767183,7.1579295,,,,,,,,,,,,,yes,,,,yes,,
no,,385566723,49.2630613,7.2740565,no,,,,,,,,,,,,yes,no,no,,yes,,
no,,385566726,49.2621905,7.2806139,no,,,,,,,,,,,,yes,no,no,,yes,,
,,387711843,49.4507045,7.0557391,,,,,,,,,,,,,yes,,,,yes,,
,,387736168,49.451208,7.0611212,,,,,,,,,,,,,yes,,,,yes,,
yes,,388230777,49.4023039,7.0325935,,,,,,,,,,,,,yes,,,,yes,,
,,389026998,49.3280684,6.9984958,,,,,,,,,,,,,yes,,,,yes,,
,,389027001,49.3310222,6.9895126,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,389951538,49.2303974,6.9650837,,,,,,,,,,,,,yes,,,,yes,,
,,392656223,49.2652142,6.9181301,,,,,,,,,,,,,,,,,,,
yes,yes,392808430,49.2430658,6.9465058,,,,,,,,,,,,,yes,,,,yes,,
,,399237863,49.2798788,7.1113827,,,,,,,,,,,,,yes,,,,yes,,
,,405100924,49.289302,7.1115238,,,,,,,,,,,,,,,,,,,
,,408469525,49.2265166,6.9763861,,,,,,,,,,,,,yes,,,,,,
,,410811995,49.2823368,7.1153961,,,,,,,,,,,,,,,,,,,
,,410811999,49.2824726,7.1125436,,,,,,,,,,,,,yes,,,,yes,,
no,,412480037,49.4188275,7.0193548,,,,,,,,,,,,,yes,,,,yes,,
,,414894614,49.2998188,7.1084654,,,,,,,,,,,,,,,,,,,
,,415378323,49.2340426,7.0019536,,,,,,,,,,,,,,,,,yes,,
yes,,415402121,49.41533,7.0145465,,,,,,,,,,,,,yes,,,,yes,,
,,415908612,49.21982,7.0075641,,,,,,,,,,,,,yes,,,,,,
yes,,415972480,49.4067288,6.9480997,,,,,,,,,,,,,yes,,,,,,
,,416358255,49.2814844,6.7981859,,,,,,,,,,,,,yes,,,,yes,,
,,416366938,49.2779205,7.0446789,,,,,,,,,,,,,yes,,,,yes,,
yes,,416860459,49.2907739,7.0265915,,,,,,,,,,,,,yes,,,,yes,,
yes,,416877190,49.4124921,6.9435795,,,,,,,,,,,,,yes,,,,yes,,
yes,,417629001,49.3385026,6.9979578,,,,,,,,,,,,,yes,,,,yes,,
yes,,418155398,49.1365869,7.1831406,,,,,,,,,,,,,yes,,,,yes,,
,,419532815,49.190316,7.0220758,,,,,,,,,,,,,yes,,,,,,
,,427495665,49.1568629,7.0331966,,,,,,,,,,,,,yes,,,,,,
yes,,431313462,49.4291469,6.7364363,,,,,,,,,,,,,yes,,,,yes,,
,,433581486,49.3023994,7.0731979,,,,,,,,,,,,,,,,,,,
yes,,434528506,49.423432,7.0017241,,,,,,,,,,,,,yes,,,,yes,,
yes,,435457431,49.4675091,7.1384116,,,,,,,,,,,,,yes,,,,yes,,
yes,,439785639,49.4201174,6.6507145,yes,,,,,,,,,,,,yes,,,,yes,,
yes,,439999705,49.5493596,6.8291954,,,,,,,,,,,,,yes,,,,yes,,
yes,,440384473,49.4143636,6.6578632,,,,,,,,,,,,,,,,,,,
,,440384474,49.414404,6.6580094,,,,,,,,,,,,,yes,,,,,,
,,441248904,49.2591679,6.8605283,,,,,,,,,,,,,yes,,,,yes,,
yes,,442686332,49.4069262,6.6683514,,,,,,,,,,,,,yes,,,,yes,,
,,444029267,49.2101759,7.1132795,,,,,,,,,,,,,,,,,,,
,,446009080,49.2813171,6.918347,,,,,,,,,,,,,,,,,,,
,,447771803,49.4274181,6.834116,,,,,,,,,,,,,yes,,,,yes,,
yes,,447811323,49.345121,6.9158966,,,,,,,,,,,,,yes,,,,yes,,
,,448664217,49.3720971,6.9853067,,,,,,,,,,,,,,,,,,,
yes,,448664965,49.3689569,6.9811332,,,,,,,,,,,,,yes,,,,,,
yes,,450243386,49.3620927,6.8793877,,,,,,,,,,,,,yes,,,,yes,,
yes,,451888513,49.3384651,6.9176966,,,,,,,,,,,,,yes,,no,,yes,,
yes,,453208020,49.3901655,6.6748555,,,,,,,,,,,,,,,,,,,
yes,,454150521,49.3910413,6.8331196,,,,,,,,,,,,,yes,,,,yes,,
,,455533714,49.4505994,7.0682524,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,455944026,49.2408478,6.9985468,,Deutsches Rotes Kreuz Kreisverband Saarbrücken e.V.,,,,,,,,,,,yes,,,,yes,,
,,457896620,49.4237857,7.237649,,,,,,,,,,,,,yes,,,,yes,,
yes,,457896622,49.4208774,7.2413141,,,,,,,,,,,,,,,,,,,
,,467661377,49.3063231,6.7607378,,,,,,,,,,,,,yes,,,,,,
,,481246355,49.2326853,6.9676278,,,,,,,,,,,,,yes,,,,,,
yes,,484860449,49.4898924,6.8638057,,,,,,,,,,,,,yes,,,,yes,,
yes,,493902805,49.28638,6.7299306,,,,,,,,,,,,,yes,,,,yes,,
,,494064407,49.2512403,7.0061849,,,,,,,,,,,,,yes,,,,yes,,
,,496380320,49.3545577,6.7238699,,,,,,,,,,,,,,,,,,,
,,496382729,49.3605856,6.7131553,,,,,,,,,,,,,,,,,,,
,,506549422,49.1847411,7.0381954,,,,,,,,,,,,,yes,,,,yes,,
yes,,506549424,49.1817343,7.0393742,,,,,,,,,,,,,,,,,,,
yes,yes,539417375,49.3847956,6.9043234,,,,,,,,,,,,,yes,,,,,,
yes,,580880502,49.3348387,6.8639628,,,,,,,,,,,,,yes,,,,yes,,
,,587676915,49.3478548,7.1700614,,,,,,,,,,,,,yes,,,,,,
yes,,601131526,49.2736384,6.8135306,,,,,,,,,,,,,yes,,,,yes,,
,,615618940,49.3423243,6.9983725,,,,,,,,,,,,,,,,,,,
,,619263162,49.1642011,7.0933924,,,,,,,,,,,,,yes,,,,yes,,
yes,,632338789,49.153767,7.2301224,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,635870630,49.2397922,6.9697317,,,,,,,,,,,,,yes,,,,no,,
,,649733781,49.1736377,7.1617178,,,,,,,,,,,,,,,,,yes,,
yes,yes,650984825,49.1639371,7.0821714,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,653603777,49.195276,7.0271602,,,,,,,,,,,,,yes,,,,yes,,
,,654535245,49.352249,7.1308343,,,,,,,,,,,,,yes,,,,yes,,
,,655293784,49.4821327,7.0407199,,,,,,,,,,,,,yes,,,,,,
yes,yes,660153720,49.2731411,7.0247748,,,,,,,,,,,,,yes,,,,,,
,,660476568,49.3196163,7.1333983,,,,,,,,,,,,,,,,,,,
,,660819982,49.5129373,7.0693264,,,,,,,,,,,,,,,,,,,
,,660819983,49.5141243,7.0727561,,,,,,,,,,,,,yes,,,,,,
,,660819987,49.51419,7.083918,,,,,,,,,,,,,,,,,,,
,,660819988,49.5166882,7.0908315,,,,,,,,,,,,,yes,,,,yes,,
,,660819989,49.5067005,7.0951938,,,,,,,,,,,,,,,,,,,
,,660819991,49.5084983,7.0795194,,,,,,,,,,,,,,,,,,,
,,663040310,49.5096167,7.0908475,,,,,,,,,,,,,,,,,,,
yes,,663711844,49.3141083,7.0757008,,,,,,,,,,,,,yes,,,,yes,,
yes,,664252691,49.310884,7.0635436,,,,,,,,,,,,,yes,,,,yes,,
,,664266765,49.3362094,7.0797184,,,,,,,,,,,,,yes,,,,yes,,
,,666778360,49.2712687,7.1067521,,,,,,,,,,,,,yes,,,,,,
,,666802993,49.232473,7.0061678,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,666803016,49.2320861,7.0079666,,Deutsches Rotes Kreuz Kreisverband Saarbrücken e.V.;ZKE,,,,,,,,,,,yes,,,,yes,,
,,667889561,49.2180275,7.1571562,,,,,,,,,,,,,,,,,yes,,
,,667889621,49.2193153,7.1521314,,,,,,,,,,,,,yes,,,,yes,,
,,670952140,49.2563221,7.073612,,,,,,,,,,,,,yes,,,,,,
,,672952537,49.4867414,6.566554,,,,,,,,,,,,,yes,,,,yes,,
,,674403013,49.2552065,6.8123114,,,,,,,,,,,,,yes,,,,yes,,
,,679896483,49.3066737,7.0857858,,,,,,,,,,,,,yes,,,,yes,,
,,679993451,49.3219832,7.1058507,,,,,,,,,,,,,yes,,,,yes,,
,,679993468,49.3265694,7.0978765,,,,,,,,,,,,,yes,,,,yes,,
,,684080100,49.3320421,7.08781,,,,,,,,,,,,,yes,,,,yes,,
,,684080186,49.329812,7.1017054,,,,,,,,,,,,,yes,,,,yes,,
,,685514291,49.155667,7.2362439,,,,,,,,,,,,,yes,,,,yes,,
,,686400390,49.5831331,6.886581,,,,,,,,,,,,,yes,,,,yes,,
,,695153953,49.3166437,7.0900855,,,,,,,,,,,,,yes,,,,yes,,
,,695154173,49.3259556,7.0902606,,,,,,,,,,,,,yes,,,,yes,,
yes,,695154218,49.3176816,7.0990082,,,,,,,,,,,,,,,,,,,
,,695423494,49.3261111,7.1055885,,,,,,,,,,,,,yes,,,,yes,,
,,720614974,49.3755058,7.1669553,,,,,,,,,,,,,,,,,,,
,,736630396,49.2201091,6.9823399,,,,,,,,,,,,,yes,,,,yes,,
,,759312604,49.246703,7.1549638,,,,,,,,,,,,,,,,,,,
,,759312619,49.2460415,7.1436452,,,,,,,,,,,,,yes,,,,yes,,
yes,,759312668,49.2451607,7.1361344,,,,,,,,,,,,,yes,,,,yes,,
,,759312720,49.2492268,7.1307806,,,,,,,,,,,,,,,,,,,
,,764527495,49.2157918,7.0061529,,,no,,,,,,,,,,yes,,,,,,
yes,yes,790024541,49.2301246,6.9825838,,,,,,,,,,,,,yes,,,,,,
,,800988385,49.48916,6.8542273,,,,,,,,,,,,,yes,,,,,,
yes,,817340318,49.239238,6.7957456,,,,,,,,,,,,,yes,,,,yes,,
,,829663722,49.3228847,6.8537711,,,,,,,,,,,,,yes,,,,yes,,
yes,,833657755,49.3315659,6.8610169,,,,,,,,,,,,,yes,,,,yes,,
,,837217539,49.333032,6.8571284,,,,,,,,,,,,,yes,,,,yes,,
,,845094577,49.4710231,7.1556803,,,,,,,,,,,,,,,,,,,
,,845928585,49.2426807,6.7005997,,,,,,,,,,,,,,,,,,,
yes,,846426829,49.2532651,6.6999098,,,,,,,,,,,,,yes,,,,yes,,
,,853150431,49.3130976,6.7471704,,,,,,,,,,,,,,,,,,,
,,855354537,49.4703261,7.1671167,,,,,,,,,,,,,,,,,,,
yes,,858175245,49.4474367,7.0517357,,,,,,,,,,,,,yes,,,,yes,,
,,858188111,49.4512257,7.0463026,,,,,,,,,,,,,,,,,yes,,
yes,yes,908595260,49.231077,7.1423513,,,,,,,,,,,,,yes,,,,yes,,
,,913228919,49.3595211,6.8860661,,,,,,,,,,,,,,,,,,,
,,913313044,49.3567776,6.8647425,,,,,,,,,,,,,,,,,,,
,,927778897,49.2375481,6.9953275,,,,,,,,,,,,,yes,,,,yes,,
,,933135251,49.2443536,6.9687482,,,,,,,,,,,,,yes,,,,,,
yes,,934837693,49.2666654,7.1560896,,,,,,,,,,,,,yes,,,,yes,,
,,952241814,49.2458542,6.8745394,,,,,,,,,,,,,,,,,,,
yes,yes,966573427,49.2399961,7.0614829,,,,,,,,,,,,,yes,,,,,,
,,970189954,49.2745006,7.0168936,,,,,,,,,,,,,yes,,,,yes,,
,,981481729,49.2893333,6.8262838,,,,,,,,,,,,,yes,,,,yes,,
,,984791637,49.4610855,7.1674605,,,,,,,,,,,,,,,,,,,
yes,,984952861,49.3149653,6.935172,,,,,,,,,,,,,yes,no,,,yes,,
,,984953314,49.3079218,6.9368581,,,,,,,,,,,,,yes,,,,yes,,
,,988622306,49.2730286,6.8387627,,,,,,,,,,,,,yes,,,,yes,,
,yes,1015574415,49.3475809,7.0053842,,,,,,,,,,,,,,,,,,,
yes,yes,1061541967,49.2987158,6.7316506,,,,,,,,,,,,,yes,,,,,,
yes,yes,1061542010,49.3011491,6.724784,,,,,,,,,,,,,yes,,,,,,
,,1061710726,49.2504237,6.8348613,,,,,,,,,,,,,,,,,,,
,,1080214879,49.3434083,7.2208407,,,,,,,,,,,,,yes,,,,yes,,
,,1080214884,49.3423232,7.2167077,,,,,,,,,,,,,yes,,,,yes,,
,,1080214886,49.3415708,7.2058826,,,,,,,,,,,,,yes,,,,yes,,
,,1080214891,49.3463028,7.2314587,,,,,,,,,,,,,,,,,,,
,,1080214908,49.3500267,7.2353531,,,,,,,,,,,,,yes,,,,yes,,
,,1105127483,49.2804006,6.8166984,,,,,,,,,,,,,,,,,,,
,,1111037622,49.2180337,7.0184755,,,,,,,,,,,,,yes,,,,,,
yes,yes,1117294740,49.4490611,7.1499119,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,1139947599,49.2526055,6.8592113,,,,,,,,,,,,,yes,,,,yes,,
,,1148725435,49.5238862,7.2673413,,,,,,,,,,,,,yes,,,,yes,,yes
,,1148784767,49.2454449,7.1956051,,,,,,,,,,,,,,,,,,,
,,1155336662,49.5347296,7.1173318,,,,,,,,,,,,,,,,,,,
,,1163315663,49.2619206,6.9159998,,,,,,,,,,,,,,,,,,,
no,,1209661487,49.2725174,7.0400491,,,,,,,,,,,,,yes,no,,yes,yes,yes,no
,,1215372824,49.2236332,7.0071414,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,1235116318,49.2848484,7.1281608,,,,,,,,,,,,,yes,,,,yes,,
,,1235715327,49.2916945,6.7340808,,,,,,,,,,,,,,,,,,,
,,1255385763,49.2594832,6.8062601,,,,,,,,,,,,,yes,,,,yes,,
,,1265601801,49.3612717,6.718773,,,,,,,,,,,,,yes,,,,yes,,
,,1265653891,49.3700434,6.7558424,,,,,,,,,,,,,yes,,,,,,
,,1274186676,49.2118853,7.1825716,,,,,,,,,,,,,yes,,,,yes,,
,,1286629957,49.454191,6.7811616,,,,,,,,,,,,,yes,,,,,,
,,1297137533,49.3823647,6.7038688,,,,,,,,,,,,,,,,,,,
,,1297137535,49.4139818,6.7269041,,,,,,,,,,,,,yes,,,,yes,,
yes,,1297137540,49.417018,6.7239067,,,,,,,,,,,,,yes,,,,yes,,
,,1301965690,49.3181461,6.8175745,,,,,,,,,,,,,yes,,,,yes,,
,,1307634580,49.2175593,7.1988798,,,,,,,,,,,,,yes,,,,yes,,
,,1335630214,49.1767222,6.7310157,,,,,,,,,,,,,yes,,,,yes,,
,,1338856618,49.2852192,6.8660125,,,,,,,,,,,,,yes,,,,yes,,
,,1340255231,49.4759756,6.9932316,,,,,,,,,,,,,yes,,,,yes,,
,,1344432439,49.2549394,6.8638454,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,1348136543,49.2646629,7.0061744,,,,,,,,,,,,,yes,,no,yes,yes,no,no
,,1348146732,49.2784941,7.0260554,,,,,,,,,,,,,yes,,,,,,
yes,,1375764396,49.1414254,7.2758303,,,,,,,,,,,,,yes,,,,yes,,
,,1376195351,49.2379755,7.0014187,,,,,,,,,,,,,yes,,,,yes,,
,,1377451462,49.2340372,7.0077081,,,,,,,,,,,,,yes,,,,,,
,,1391767890,49.4119219,6.7833902,,,,,,,,,,,,,,,,,,,
,,1395852104,49.2313383,6.9827184,,,,,,,,,,,,,yes,,,,yes,,
yes,,1397357608,49.3896564,6.8427112,,,,,,,,,,,,,yes,,,,yes,,
,,1407347791,49.5084501,6.9081754,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,1410573631,49.3291926,7.0563858,,,,,,,,,,,,,yes,,,,yes,,
,,1422595453,49.276191,7.0486647,,,,,,,,,,,,,yes,,,,,,
,,1431148561,49.2340686,7.0213024,,,,,,,,,,,,,yes,,,,,,
yes,yes,1431148562,49.2313207,7.0193032,,,,,,,,,,,,,yes,,,,,,
,,1439021692,49.3877019,7.0759177,,,,,,,,,,,,,yes,,,yes,yes,,
,,1440109628,49.3835235,7.0786642,,,,,,,,,,,,,yes,,,yes,yes,,
,,1476936228,49.2364033,7.0107741,,,,,,,,,,,,,yes,,,,yes,,
,,1476936234,49.2377826,7.010803,,,,,,,,,,,,,yes,,,,yes,,
yes,yes,1480164356,49.2313806,7.0118398,,Deutsches Rotes Kreuz Kreisverband Saarbrücken e.V.,,,,,,,,,,,yes,,,,yes,,
yes,,1488830214,49.2276912,7.0221629,yes,,,,,,,,,,,,yes,yes,,,yes,,yes
yes,yes,1488858554,49.2333977,7.0431434,,,,,,,,,,,,,,,,,,,
yes,yes,1488917289,49.2292091,7.045723,,,,,,,,,,,,,yes,,,,yes,,
